numeroControlePNCPCompra,numeroItem,endpoint,sequencialResultado,situacaoCompraItemResultadoId,situacaoCompraItemResultadoNome,dataInclusao,dataAtualizacao,niFornecedor,nomeRazaoSocialFornecedor,tipoPessoa,porteFornecedorId,porteFornecedorNome,naturezaJuridicaId,naturezaJuridicaNome,codigoPais,quantidadeHomologada,valorUnitarioHomologado,valorTotalHomologado,percentualDesconto,paisOrigemProdutoServico.id,paisOrigemProdutoServico.nome,moedaEstrangeira.id,moedaEstrangeira.simbolo,moedaEstrangeira.nome,timezoneCotacaoMoedaEstrangeira,valorNominalMoedaEstrangeira,dataCotacaoMoedaEstrangeira,aplicacaoMargemPreferencia,amparoLegalMargemPreferencia.id,amparoLegalMargemPreferencia.nome,amparoLegalMargemPreferencia.descricao,amparoLegalMargemPreferencia.statusAtivo,aplicacaoBeneficioMeEpp,aplicacaoCriterioDesempate,amparoLegalCriterioDesempate.id,amparoLegalCriterioDesempate.nome,amparoLegalCriterioDesempate.descricao,amparoLegalCriterioDesempate.statusAtivo,indicadorSubcontratacao,ordemClassificacaoSrp,dataResultado,dataCancelamento,motivoCancelamento,moedaEstrangeira,amparoLegalMargemPreferencia,amparoLegalCriterioDesempate,paisOrigemProdutoServico,dataResultado_ocds
08778268000160-1-000332/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/332/itens/1/resultados,1,1,Informado,2025-06-15T09:11:02,2025-06-15T09:11:02,08958628000297,ONCOEXO DISTRIBUIDORA DE MEDICAMENTOS LTDA,PJ,3,Demais,,,BRA,106749.0,4.56,486775.44,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000336/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/336/itens/1/resultados,1,1,Informado,2025-06-15T09:11:09,2025-06-15T09:11:09,08958628000297,ONCOEXO DISTRIBUIDORA DE MEDICAMENTOS LTDA,PJ,3,Demais,,,BRA,1100.0,2028.87,2231757.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000324/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/324/itens/1/resultados,1,1,Informado,2025-06-15T09:59:33,2025-06-15T09:59:33,45357178000122,MARIA E FERREIRA,PJ,2,EPP,,,BRA,5.0,5.05,25.25,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000324/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/324/itens/2/resultados,1,1,Informado,2025-06-15T09:59:40,2025-06-15T09:59:40,45357178000122,MARIA E FERREIRA,PJ,2,EPP,,,BRA,120.0,2.85,342.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000324/2025,3,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/324/itens/3/resultados,1,1,Informado,2025-06-15T09:59:47,2025-06-15T09:59:47,45357178000122,MARIA E FERREIRA,PJ,2,EPP,,,BRA,25.0,5.9,147.5,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000324/2025,4,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/324/itens/4/resultados,1,1,Informado,2025-06-15T09:59:53,2025-06-15T09:59:53,45357178000122,MARIA E FERREIRA,PJ,2,EPP,,,BRA,60.0,5.75,345.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000324/2025,6,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/324/itens/6/resultados,1,1,Informado,2025-06-15T10:00:07,2025-06-15T10:00:07,45357178000122,MARIA E FERREIRA,PJ,2,EPP,,,BRA,60.0,5.18,310.8,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
02493318000187-1-000037/2024,1,https://pncp.gov.br/api/pncp/v1/orgaos/02493318000187/compras/2024/37/itens/1/resultados,1,1,Informado,2024-11-20T07:44:47,2024-11-20T07:44:47,06294126000100,SOMA RS PRODUTOS HOSPITALARES LTDA,PJ,3,Demais,,,BRA,3600.0,7.69,27684.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
02493318000187-1-000037/2024,2,https://pncp.gov.br/api/pncp/v1/orgaos/02493318000187/compras/2024/37/itens/2/resultados,1,1,Informado,2024-11-20T07:44:47,2024-11-20T07:44:47,03652030000170,CENTERMEDI COMÉRCIO DE PRODUTOS HOSPITALARES LTDA,PJ,3,Demais,,,BRA,3100.0,5.099,15806.9,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
02493318000187-1-000037/2024,3,https://pncp.gov.br/api/pncp/v1/orgaos/02493318000187/compras/2024/37/itens/3/resultados,1,1,Informado,2024-11-20T07:44:47,2024-11-20T07:44:47,94516671000153,CIRURGICA SANTA CRUZ COM PROD HOSP LTDA,PJ,3,Demais,,,BRA,131000.0,0.3132,41029.2,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
